###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57549.380195  20.535  1.211    22   27 c  0   0.71 236.97569  44.65204  1327.92 10473.30 5.80 4.38 -12.4 -0.331 19.42 21.73 02a57549o0177c
57549.383098  22.429  5.143     4   20 c  0   0.72 236.97569  44.65204  7137.46   645.02 5.43 3.88   6.4 -0.445 19.57 21.77 02a57549o0183c
57549.396669  21.176  1.519    12   19 c  0   0.70 236.97569  44.65204  1401.39 10431.56 4.49 4.10 -48.1 -0.380 19.70 21.89 02a57549o0210c
57549.398604 -21.260  1.700   -11   19 c  0   0.74 236.97569  44.65204  7211.60   726.76 5.28 4.09   7.0 -0.438 19.62 21.90 02a57549o0214c
57549.408329 -22.114  3.400    -5   18 c  0   0.95 236.97569  44.65204  7226.56   612.40 4.87 3.88  12.6 -0.461 19.70 21.89 02a57549o0232c
57549.409298   0.000 20.370    -0   26 c  0   1.00 236.97569  44.65204  1374.58 10494.66 4.34 4.03 -44.4 -0.374 19.72 21.89 02a57549o0234c
57549.416002 -21.251  1.682   -12   19 c  0   0.69 236.97569  44.65204  7184.33   671.58 4.87 3.90  11.0 -0.467 19.69 21.87 02a57549o0247c
57568.348256 -20.688  1.244   -19   24 o  0   0.91 236.97569  44.65204  1627.10  8698.67 3.98 3.61 -58.5 -0.456 19.26 21.01 02a57568o0230o
57568.360459 -21.146  1.828   -13   23 o  0   0.83 236.97569  44.65204  1599.61  8661.70 4.07 3.60 -58.0 -0.454 19.26 21.02 02a57568o0255o
57568.377121  21.680  2.833     8   22 o  0   1.03 236.97569  44.65204  1656.85  8735.60 4.01 3.56 -59.0 -0.448 19.28 21.04 02a57568o0289o
57568.384391 -21.171  1.759   -12   22 o  0   1.18 236.97569  44.65204  1686.17  8616.91 3.95 3.57 -60.9 -0.446 19.27 21.03 02a57568o0304o
57568.395219 -24.092 28.500    -1   24 o  0   0.96 236.97569  44.65204  1645.74  8680.17 3.91 3.52 -55.3 -0.458 19.25 20.97 02a57568o0326o
57581.331999  19.964  0.580    38   22 c  0   1.04 236.97569  44.65204  2693.20  7723.82 4.23 3.85 -65.1 -0.431 19.12 20.81 02a57581o0167c
57581.342268 -19.902  0.548   -40   22 c  0   0.92 236.97569  44.65204  2666.38  7686.07 4.20 3.81 -61.8 -0.442 19.10 20.77 02a57581o0188c
57581.347109  21.170  1.710    12   21 c  0   1.36 236.97569  44.65204  2722.34  7761.39 4.07 3.66 -59.9 -0.445 19.14 20.77 02a57581o0198c
57581.358433  20.887  1.447    16   23 c  0   0.85 236.97569  44.65204  2751.83  7645.62 4.12 3.78 -59.6 -0.445 19.07 20.73 02a57581o0221c
