mjd,instrument,filter,mag,emag,wave,mag0,tmax_rf,tmax_of,mag0_abs,freq,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
58584.4691,P48+ZTF,g,18.653,0.016,4813.97,18.572573987557558,1.2426319396895942,1.2691000000049826,-16.26409260776492,622755143883322.9,3203590.8391715293,47209.859266103354,1.1632238337031823e-13,1.7141899899522127e-15,72.44036259263358,1.0675206338360421,0.015047946412759857,0.00022175473337724208,1.8004795394573226e+38,2.653284702588938e+36,2019-04-11T11:15:30.240000179,2019 04 11
58585.4191,P48+ZTF,r,18.753,0.026,6421.81,18.695741463460692,2.172818956234282,2.219100000002072,-16.140925131861785,466834830055700.75,2860026.4708728744,68488.7249009626,1.0384756115739407e-13,2.486825601153952e-15,48.47965856461105,1.160936806892871,0.007549220323337353,0.0001807803106745405,9.032605751106889e+37,2.1630277087526648e+36,2019-04-12T10:03:30.239999928,2019 04 12
58586.4101,P48+ZTF,r,18.918,0.027,6421.81,18.86074146346069,3.143150886129322,3.2101000000038766,-15.975925131861786,466834830055700.75,2456801.410343158,61095.53848215136,8.920645920956007e-14,2.2183790022869158e-15,41.64468222496578,1.0356165845317473,0.006484882334570125,0.00016126552864873723,7.759130474628223e+37,1.9295342818712742e+36,2019-04-13T09:50:32.640000083,2019 04 13
58586.448,P48+ZTF,g,19.037,0.025,4813.97,18.956573987557558,3.180260452364234,3.2479999999995925,-15.880092607764919,622755143883322.9,2249246.446912993,51790.81339131682,8.167013848741078e-14,1.8805244342387138e-15,50.860498844698405,1.1711062646204344,0.010565188159605981,0.0002432724476098593,1.264119673881703e+38,2.910743116840504e+36,2019-04-13T10:45:07.199999713,2019 04 13
58586.5159,P48+ZTF,i,18.977,0.082,7883.06,18.93509155747314,3.246744345443474,3.3159000000014203,-15.901575037849337,380299601931229.75,2294193.342429249,173268.47281573978,8.330216026360604e-14,6.2913782479395115e-15,31.679778388260882,2.392608643290194,0.004018715877877484,0.000303512676966837,4.808374189102152e+37,3.6315145592313756e+36,2019-04-13T12:22:53.759999871,2019 04 13
58587.4222,P48+ZTF,r,19.021,0.054,6421.81,18.963741463460693,4.13414275923215,4.222200000003795,-15.872925131861784,466834830055700.75,2234446.973661768,111132.0927210077,8.113276961365879e-14,4.0352062866997896e-15,37.875602714540726,1.8837748410911916,0.005897963769488777,0.0002933401706203067,7.056885238786234e+37,3.5098010108205636e+36,2019-04-14T10:07:58.080000076,2019 04 14
58587.4658,P48+ZTF,g,19.178,0.031,4813.97,19.09757398755756,4.176833447567841,4.265800000001036,-15.739092607764917,622755143883322.9,1975318.0994423924,56399.391320247545,7.172380019075326e-14,2.0478618988381883e-15,44.66636550765125,1.2753165314641508,0.00927848854638713,0.00026491991671409473,1.1101666849832461e+38,3.1697540418804884e+36,2019-04-14T11:10:45.119999838,2019 04 14
58588.43,P48+ZTF,r,19.099,0.031,6421.81,19.041741463460692,5.120924312154314,5.230000000003201,-15.794925131861785,466834830055700.75,2079553.2842677964,59375.52006627878,7.550857975176369e-14,2.1559251336065825e-15,35.25003499616193,1.0064609433600429,0.0054891121033107376,0.00015672543151542054,6.567696189706155e+37,1.8752122383746667e+36,2019-04-15T10:19:12.000000025,2019 04 15
58588.4794,P48+ZTF,g,19.392,0.039,4813.97,19.31157398755756,5.169294037011104,5.279399999999441,-15.525092607764918,622755143883322.9,1621948.4353945209,58260.91890753326,5.889294768917506e-14,2.115453965532533e-15,36.67588611188522,1.3174098386837585,0.007618636200866482,0.00027366390706293523,9.115661514183434e+37,3.274375465192775e+36,2019-04-15T11:30:20.159999700,2019 04 15
58589.3489,P48+ZTF,r,18.989,0.199,6421.81,18.931741463460693,6.020659943209771,6.14890000000014,-15.904925131861784,466834830055700.75,2301283.1244196105,421792.4572769696,8.355959024767606e-14,1.5315284123726767e-14,39.00852711279784,7.149708061154757,0.00607438200644333,0.0011133478039921387,7.26796880946832e+37,1.3321152843073837e+37,2019-04-16T08:22:24.959999761,2019 04 16
58590.0252,LT+IOO,g,19.47,0.14,4795.5,19.389165092090455,6.682855184568014,6.825199999999313,-15.447501503232022,625153702429360.8,1510082.2449136397,194717.20051465533,5.483108631281426e-14,7.070181550687135e-15,34.27785661667968,4.419950173259822,0.007147921304698088,0.0009216870343571727,8.55245340842468e+37,1.102794096698828e+37,2019-04-17T00:36:17.279999689,2019 04 17
58590.026,LT+IOO,r,19.16,0.04,6187.58,19.100238305537236,6.683638499951954,6.826000000000931,-15.736428289785241,484506799104011.56,1970476.7545319095,72595.0464172234,7.154801095705364e-14,2.635926135409382e-15,34.66549777106081,1.277124134541807,0.005602432254784715,0.00020640123191002088,6.703283205064007e+37,2.4695807971356373e+36,2019-04-17T00:37:26.399999829,2019 04 17
